"plz","size","inhabitants","sqm","physicians","neurologists"
107,14.5510727287205,143512,9862.64055410434,243,10.5
185,1588.0659350747,86970,54.7647286420189,196.5,6.9
108,4.68705520804491,44965,9593.44364513173,243,10.5
109,12.1935265852329,141200,11579.9148845914,243,10.5
120,16.9840673312791,157942,9299.42144713018,243,10.5
121,25.4223580921969,198303,7800.33855556723,243,10.5
122,30.4506183375131,140740,4621.90942857203,243,10.5
123,44.2991488002295,199936,4513.31471179339,243,10.5
124,34.432905520859,99517,2890.17143614889,243,10.5
125,214.816418651282,152515,709.978319895475,243,10.5
126,61.9440669301254,243939,3938.05269962609,243,10.5
130,42.0684635085645,153256,3643.01396386391,243,10.5
131,76.1261343475062,158662,2084.19882816758,243,10.5
133,14.155801026914,147289,10404.8509667495,243,10.5
134,48.4031197838284,180894,3737.23844264346,243,10.5
135,105.951760401001,247416,2335.17592405819,243,10.5
136,10.8642423969402,28956,2665.25717505669,243,10.5
140,43.0778049762959,82116,1906.225260205,243,10.5
141,98.8333094524993,148677,1504.32076820676,243,10.5
144,188.434535996783,155931,827.507543535766,249.8,12
145,679.236404475279,134023,197.314218020359,190.8,6.5
146,902.303924034402,105582,117.013787912968,135.6,3.7
147,1846.734869224,150723,81.6159387640382,210.1,11.1
148,952.574240821561,31047,32.5927352110877,126.6,3.8
149,1456.76846523962,96756,66.4182416826855,136,4.8
152,424.976944527334,74558,175.440105540136,238.7,10.3
153,1565.93801298086,149263,95.3185878129802,144.1,7.8
258,1468.9267698726,110046,74.9159197429181,162,5.4
175,262.961451941148,12676,48.2047840336573,196.5,6.9
180,120.277994203035,100057,831.881182114649,234.6,12
181,752.257591452118,157157,208.913810622546,142.1,4.7
182,2062.37919460639,132874,64.4275312452226,219.1,8.3
184,635.565844909137,81798,128.701063241833,196.5,6.9
259,673.370454086847,56393,83.7473632199592,183.5,6.8
261,893.645100918161,262082,293.273022736574,268.1,12
262,428.787611816219,52424,122.260994849985,169.4,8.1
263,479.032945455729,127756,266.695644238955,217.5,7.9
200,4.31822800875188,13912,3221.69185411334,242.7,10.9
274,1456.26190584469,144350,99.1236531153172,132.3,8.6
275,79.218954011075,108055,1364.00437684261,214.1,9.7
186,23.8268756636091,5206,218.492767306087,196.5,6.9
190,1024.41365798698,141739,138.361099439579,240.1,12.5
192,2569.03310488929,113931,44.3478131064837,141.2,5.2
193,3029.93705683917,129493,42.7378515034523,176.4,5.7
194,495.601341124038,18158,36.6383189335548,184.2,7.5
201,4.31697757603826,34166,7914.33344236977,242.7,10.9
204,15.5137582388353,9713,626.089426589466,242.7,10.9
202,6.20192503662345,88280,14234.2900758541,242.7,10.9
214,714.060007514366,153249,214.616416529835,208,7.7
203,4.98531843134847,35073,7035.25772385078,242.7,10.9
215,355.37016539229,73967,208.140714115234,163.7,5.8
216,573.769037161556,154191,268.733567016417,168.3,6.5
205,16.8823625564673,55746,3302.02599390597,242.7,10.9
210,223.468162476804,223600,1000.5899611011,242.7,10.9
211,131.059109879528,108569,828.397202604221,242.7,10.9
212,737.876988261663,143157,194.012013218163,242.7,10.9
213,977.475068732105,159242,162.91157196117,180.4,7.7
217,1384.77376887849,108524,78.3694798666588,150.1,5.4
228,165.262243378804,141547,856.499325593414,242.7,10.9
224,41.8524062554867,114814,2743.30702275806,242.7,10.9
247,362.592522441424,73111,201.634053310658,166.3,5.1
220,27.5185548359298,171653,6237.71855111664,NA,NA
221,112.24723495793,286749,2554.61972054343,242.7,10.9
222,5.88429978389423,29662,5040.87165667309,NA,NA
223,103.120647366861,230461,2234.86766117861,242.7,10.9
225,70.0154096443588,180078,2571.97666791783,242.7,10.9
226,15.2012476171227,38438,2528.60824112249,242.7,10.9
227,12.5770248651068,105141,8359.76720469873,242.7,10.9
229,343.638326654059,106367,309.531829687553,151.8,4.9
235,211.041472227004,209583,993.08916768058,247.3,15.7
236,397.806486695751,92726,233.093232768018,167,6.5
237,1235.11131445074,146329,118.47434177629,137.9,6.9
276,1181.18719861323,102719,86.9625069765379,182.4,8.2
277,811.082459369709,204865,252.582209901568,157.4,6.2
238,1175.38461719368,135870,115.596204010565,138.2,5.1
239,1496.60537454883,141777,94.7323873153537,138.9,7.6
241,175.230667650666,266676,1521.85689625766,268.6,13.7
242,883.936032846036,128537,145.414368487893,228.9,8.4
243,1046.13726625182,102134,97.6296355123012,148.2,3.9
244,99.2441773359565,5308,53.4842460533641,183.5,6.8
245,554.628326617262,182317,328.71923637938,170.2,10.1
253,452.952249483497,109367,241.453707592161,175.4,6.8
278,223.593724723163,20275,90.6778579099345,147,4.6
246,782.98137011529,62340,79.6187526030419,163.7,5.8
322,129.351093847996,71565,553.261653002315,181.8,6.8
323,521.570732344192,92964,178.238528803514,181.8,6.8
324,521.378183752371,158223,303.470695419715,154.6,7.4
325,124.327652831126,88538,712.134412448541,181.8,6.8
326,625.522968056155,127405,203.677573016891,133.2,4.9
327,205.405955693318,108782,529.59516014432,181.8,6.8
248,1274.60296271085,107301,84.183862064615,131.3,6.5
249,855.527097550076,166653,194.79570019142,222.6,10.2
254,380.000917692051,175442,461.688358716482,147.8,5.8
255,1003.36271955056,119029,118.630080309658,160.3,7.6
256,53.8610526731155,4690,87.0759067496093,175.4,6.8
257,1311.93217090934,117080,89.2424186220301,152.1,6
731,107.060384373215,30293,282.952468154774,195.1,7.4
542,192.483748011942,113491,589.613415013921,263.6,15.5
543,577.323163361068,89206,154.516578688198,121.9,4
544,991.00194335495,93210,94.0563241323682,157,2.7
545,1718.58814843691,130556,75.9670082205227,154.8,6.6
264,962.627862369622,106267,110.392607729441,176.6,7.1
470,36.3102483471576,106272,2926.77700752545,151.4,6.2
471,108.633708676917,232199,2137.4488897417,NA,NA
472,87.8333724733848,149820,1705.72979018195,NA,NA
474,206.067644986447,172702,838.084018533615,176.9,6
475,573.941193726316,158959,276.960430332519,130.8,5.1
476,567.694508400718,127091,223.872167370501,176.9,6
265,503.706534107892,75700,150.285920221526,135.7,5.3
266,1240.68289053113,168572,135.870335028022,143.2,4.7
267,419.473240809976,108810,259.396761018402,168,9.9
546,1230.49532451689,76002,61.76537081101,126.3,3.1
328,366.87350500056,65002,177.178234770322,181.8,6.8
330,374.857973138869,65767,175.445114450417,146.2,4.2
268,1222.18468612657,171681,140.470586768767,170.5,4.7
331,1316.75200371149,280296,212.869241292163,167.1,4.9
333,309.214566002372,169534,548.273007290024,125.9,5
334,289.086647819325,72830,251.931386486994,181.8,6.8
336,190.52084622999,267363,1403.32675027723,243,11.7
337,291.531791851656,128378,440.356776132752,NA,NA
